phenotype	endpoint
Spermatocele	N14_SPERMATOCELE
Benign mammary dysplasia	N14_BENIGNMAMDYSP
Spondylolisthesis/Spondylolysis	M13_SPONDYLOLISTHESIS
Lung transplantation	LUNG_TRANSPLANTATION
Urticaria	L12_URTICARIA
Influenza and pneumonia	J10_INFLUPNEU
Acute upper respiratory infections of multiple and unspecified sites	J10_ACUTEUPPERINFEC
Nonischemic cardiomyopathy	I9_NONISCHCARDMYOP_STRICT
Inguinal hernia, bilateral	HERING_BILATERAL
Disorders of vestibular function (Vertigo)	H8_VERTIGO
Presbycusis	H8_HL_PRESBY
Disorders of eyelid, lacrimal system and orbit	H7_LIDLACRIMALORBIT
Colour vision deficiencies	H7_COULOURVISDEF
Keratoconus	H7_CORNEALDEFORM
Extrapyramidal and movement disorders	G6_XTRAPYR
Migraine without aura and triptan purchases	G6_MIGRAINE_NO_AURA_TRIPTAN
Alcohol dependence	F5_ALCOHOL_DEPENDENCE
Disorders of other endocrine glands	E4_ENDOGLAND
Diabetic maculopathy	DM_MACULOPATHY
Congenital malformations of heart and great arteries	CONGEN_HEART_ARTER
Adenocarcinoma and papilloma adenocarcinoma of rectum	C3_RECTUM_ADENO
Intestinal infectious diseases	AB1_INTESTINAL_INFECTIONS
Thyroiditis	THYROIDITIS
Fracture of lumbar spine and pelvis	ST19_FRACT_LUMBAR_SPINE_PELVIS
Fracture of lower leg, including ankle	ST19_FRACT_LOWER_LEG_INCLU_ANKLE
Reactive arthropathies, FINNGEN	RHEUMA_ARHTROPAT_REACTIVE
Congenital malformations of the circulatory system	Q17_CONGEN_MALFO_CIRCULATO_SYSTEM
Pre-eclampsia or poor fetal growth	O15_PREEC_OR_FETGRO
Single spontaneous delivery	O15_DELIV_SPONT
Medical abortion	O15_ABORT_MEDICAL
Other noninflammatory disorders of uterus, except cervix	N14_OTHNONINFUTER
Female infertility, cervigal, vaginal, other or unspecified origin	N14_FIOTHNAS
Female infertility, associated with anovulation	N14_FIANOV
Dialysis	N14_DIALYSIS
Osteopathies and chondropathies	M13_OSTEOCHONDRO
Erythema nodosum	L12_ERYTHEMANODOSUM
Acne	L12_ACNE
Other acute lower respiratory infections	J10_LOWERINF
Status post-ami	I9_POSTAMI
Nontraumatic intracranial haemmorrhage	I9_INTRACRA
Cerebral aneurysm, nonruptured	I9_ANEURYSM
Vestibular neuronitis	H8_VESTIBNEUR
Suppurative and unspecified otitis media	H8_MED_SUPP
Retinal detachment with retinal break	H7_RETINALDETACHBREAK
Chronic iridocyclitis	H7_IRIDOCHRONIC
Other and unspecified glaucoma	H7_GLAUCNAS
Parkinson's disease	G6_PARKINSON
Other anxiety disorders	F5_ANXIETY
Erectile dysfunction	ERECTILE_DYSFUNCTION
Subacute thyroiditis	E4_THYROIDITSUBAC
Polycystic ovarian syndrome, consortium definition	E4_PCOS_CONCORTIUM
Adrenocortical insufficiency	E4_ADDISON
Drug-induced systemic lupus erythematosus	DRUGADVERS_SYSTEMIC_LUPUS_ERYTHEMAT
Later onset COPD	COPD_LATER
Cirrhosis of liver, NAS	CHIRHEP_NAS
Follicular lymphoma, hilmo (controls excluding all cancers)	CD2_FOLLICULAR_LYMPHOMA_EXALLC
Benign neoplasm: Adrenal gland	CD2_BENIGN_ADRENAL
Neuroendocrine tumor and carcinoma of small intestine, excluding all cancers (controls excluding all cancers)	C3_SMALL_INTESTINE_NEUROENDOCRINE_EXALLC
Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)	C3_LUNG_NONSMALL_EXALLC
Diarrhoea and gastroenteritis of presumed infectious origin	AB1_GASTROENTERITIS_NOS
Other forms of systemic lupus erythematosus	SLE_OTH
Other congenital malformations of heart	Q17_OTHER_CONGEN_MALFO_HEART
Other chromosome abnormalities, not elsewhere classified	Q17_OTHER_CHROMOSOME_ABNORMALITI_NOT_ELSEW_CLASSIFIED
Other disorders of breast and lactation associated with childbirth	O15_BREAST_LACT_OTHER_DIS
Renal tubulo-interstitial diseases	N14_RENALTUB
Polyp of the female genital tract	N14_POLYPFEMGEN
Redundant prepuce, phimosis and paraphimosis	N14_PHIMOSIS
Glomerular diseases	N14_GLOMERULAR
HSIL lesion of the cervix uteri	N14_CERVICAL_HSIL
Other disorders of patella	M13_PATELLAOTH
Iliotibial band syndrome	M13_ILIOTIBBAND
Enteropathic arthropathies	M13_ENTEROARTHR
Other specified/unspecified systemic involvement of connective tissue	M13_CONNECTNAS
Atlantoaxial subluxation	M13_ATLOAXSUBLUX
Polyarthrosis	M13_ARTHROSIS_POLY
Lupus erythematosus	L12_LUPUS
Lichen sclerosus et atrophicus	L12_LICHENSCLERATROPH
Infections of the skin and subcutaneous tissue	L12_INFECT_SKIN
Hidradenitis suppurativa	L12_HIDRADENITISSUP
Granuloma annulare	L12_GRANUANNU
Personality disorders (more control exclusions)	KRA_PSY_PERSON_EXMORE
Other noninfective gastroenteritis and colitis	K11_OTHENTERCOL
Diseases of oesophagus, stomach and duodenum	K11_OESSTODUO
Intestinal malabsorption	K11_MALABSORB
Fibrosis and cirrhosis of liver	K11_FIBROCHIRLIV
Other and unspecified tonsillitis	J10_TONSILLITIS
Left bundle-branch block	I9_LBBB
Dronedarone medication	I9_E_DRONE
Perforation of tympanic membrane	H8_PERFORATION
Other strabismus	H7_STRABOTH
Other disorders of iris and ciliary body	H7_OTHIRISCILIARY
Disorders of orbit	H7_ORBIT
Other keratitis	H7_KERATITISOTH
Divergent concomitant strabismus	H7_DIVERGSTRAB
Migraine with aura	G6_MIGRAINE_WITH_AURA
Migraine without aura	G6_MIGRAINE_NO_AURA
Hereditary ataxia	G6_HERATAXIA
Disorders of plasma-protein metabolism, not elsewhere classified	E4_PLASMAPROT
Mixed hyperlipidaemia	E4_HYPERLIPMIX
Nontoxic diffuse goitre	E4_GOITREDIFF
Polyglandular dysfunction	E4_DYSPOLYGL
Other diseases of blood and blood-forming organs, wide	D3_BLOODOTHER
Carcinoma in situ of skin (controls excluding all cancers)	CD2_INSITU_SKIN_EXALLC
Benign neoplasm: Peripheral nerves and autonomic nervous system	CD2_BENIGN_PERIPH_AUTO_NEURO
Benign neoplasm: Parotid gland	CD2_BENIGN_PAROTID
Benign neoplasm of other and unspecified endocrine glands	CD2_BENIGN_ENDOCRINE_OTH
Benign neoplasm: Colon, unspecified	CD2_BENIGN_COLON_NOS
Malignant neoplasm of small intestine, excluding all cancers (controls excluding all cancers)	C3_SMALL_INTESTINE_EXALLC
Waldenstrom macroglobulinemia, lymphoplasmacytic lymphoma, excluding all cancers (controls excluding all cancers)	C3_MACROGLOBULINEMIA_EXALLC
Hepatocellular carcinoma, excluding all cancers (controls excluding all cancers)	C3_HEPATOCELLU_CARC_EXALLC
Malignant neoplasm of brain, excluding all cancers (controls excluding all cancers)	C3_BRAIN_EXALLC
Bronchitis	BRONCHITIS
Other predominantly sexually transmitted diseases, not elsewhere classified	AB1_SEXUAL_TRANSMISSION_NOS
Infections with a predominantly sexual mode of transmission	AB1_SEXUAL_TRANSMISSION
Other bacterial diseases	AB1_OTHER_BACTERIAL
Malaria	AB1_MALARIA
Vascular dementia (undefined)	VD_U
Ulcerative enterocolitis	ULCERENTER
Glucosamine medication	RX_GLUCOSAMINE
Retention of urine	R18_RETEN_URINE
Ankyloglossia	Q17_ANKYLOGLOSSIA
Prolonged pregnancy	O15_PREG_PROLONGED
Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium	O15_OTHER_MATERN_DIS_ELSEWHERE
LSIL lesion of the vulva	N14_VULVAL_LSIL
Renal failure	N14_RENFAIL
Postmenopausal bleeding	N14_POSTMENBLEED
Hydrocele	N14_HYDROCELE
Glomerulonephritis	N14_GLOMER_NEPHRITIS
LSIL lesion of the cervix uteri, vagina or vulva	N14_FEMALE_GENITAL_LSIL
HSIL lesion of the cervix uteri, vagina or vulva	N14_FEMALE_GENITAL_HSIL
Macular hole	MACULAR_HOLE
Disorders of synovium and tendon	M13_SYNOTEND
Other overlap syndromes	M13_OVERLAP
Disorders of muscles	M13_MUSCLE
Internal derangement of knee	M13_KNEEDERANGEMENTS
Other/unspecified dorsalgia	M13_DORSALGIANAS
Allergic urticaria	L12_URTICA_ALLERG
Pustulosis palmaris et plantaris	L12_PSORI_PUSTUPALM
Bullous pemphigoid	L12_PEMPHIGOID_BULL
Bullous disorders	L12_BULLOUS
Schizophrenia or delusion (more control exclusions)	KRA_PSY_SCHIZODEL_EXMORE
Molar incisor enamel hypoplasia	K11_MIH
Duodenal ulcer	K11_DULC
Cholecystitis	K11_CHOLECYST
Bacterial pneumoniae	J10_PNEUMOBACT
Pleural plaque	J10_PLEURPLAGUE
Acute laryngitis and tracheitis	J10_LARYNGITIS
Chronic rhinitis, nasopharyngitis and pharyngitis	J10_CHRONRHINITIS
ILD-related respiratory insufficiency	ILD_INSUFFICIENCY
Oesophageal varices	I9_VARICVEOES
Sequelae of cerebrovascular disease	I9_SEQULAE
Subarachnoid haemorrhage	I9_SAH
Non-ischemic cardiomyopathy	I9_NONISCHCARDMYOP
Other diseases of arteries and capillaries	I9_ARTOTH
Mixed conductive and sensorineural hearing loss	H8_HL_MIX_NAS
Sudden idiopathic hearing loss	H8_HL_IDIOP
Deaf mutism, not elsewhere classified	H8_HL_DEAFMUT
Otitis externa, unspecified	H8_EXT_NAS
Otitis externa	H8_EXTOTITIS
Eustachian salpingitis and obstruction	H8_EUSTSALP
Retinal breaks without detachment	H7_RETINALBREAK
Ptosis of eyelid	H7_PTOSIS
Heterophoria	H7_HETEROPHORIA
Other and unspecified corneal deformities and disorders	H7_CORNEALNAS
Corneal degeneration	H7_CORNEALDYSTROPHY
Visual impairment including blindness (binocular or monocular)	H7_BLINDANDVISIMPAIRMENT
Graves ophthalmopathy	GRAVES_OPHT
Other and unspecified polyneuropathies, also in other diseases	G6_POLYOTHUNS
Other headache syndromes	G6_HEADACHE
Other reaction to severe stress, and adjustment disorders	F5_STRESSOTH
Delirium, not induced by alcohol and other psychoactive substances	F5_DELIRIUM
Autoimmune thyroiditis	E4_THYROIDITAUTOIM
Lactose intolerance, other/unspecified	E4_LACTONAS
Nontoxic single thyroid nodule	E4_GOITRENOD
Other disorders of glucose regulation and pancreatic internal secretion	E4_GLUCOPANCREAS
Autoimmune polyglandular failure	E4_AUTOPOLYFAI
Diabetic nephropathy (more control exclusions)	DM_NEPHROPATHY_EXMORE
Neovascular glaucoma	DM_NEOVASCULAR_GLAUCOMA
Iron deficiency anaemia secondary to blood loss (chronic)	D3_ANAEMIA_IRONDEF_BLOODLOSS
Continuous positive airway pressure	CPAP
Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)	C3_PANCREAS_EXALLC
Clear cell adenocarcinoma of kidney, excluding all cancers (controls excluding all cancers)	C3_KIDNEY_CLEAR_CELL_CARCINOMA_EXALLC
Malignant neoplasm of head and neck, excluding all cancers (controls excluding all cancers)	C3_HEAD_AND_NECK_EXALLC
Brain glioblastoma, excluding all cancers (controls excluding all cancers)	C3_GBM_EXALLC
Rare circulating lymphoid malignancy, excluding all cancers (controls excluding all cancers)	C3_CIRCULATING_LYMPHOID_EXALLC
Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)	C3_BILIARY_GALLBLADDER_EXALLC
Postdysenteric arthropathy	ARTRHO_POSTDYSENTERIC
Other spirochaetal diseases	AB1_OTHER_SPIROCHAETAL
Other septicaemia	AB1_OTHER_SEPSIS
Lyme disease	AB1_LYME
Dermatophytosis	AB1_DERMATOPHYTOSIS
Suicide or other Intentional self-harm	VWXY20_SUICI_OTHER_INTENTI_SELF_H
severe traumatic brain injury, does not include concussion	TRAUMBRAIN_NONCONCUS
Reiter disease	REITER
Other congenital malformations of ear	Q17_OTHER_CONGEN_MALFO_EAR
Congenital malformations of genital organs	Q17_CONGEN_MALFO_GENITAL_ORGANS
Dementia due to Parkinson's disease (more control exclusions)	PD_DEMENTIA_EXMORE
Disorders related to short gestation and low birth weight, not elsewhere classified	P16_DISORD_RELATED_GESTATION_LOW_BIRTHWGHTT_NECIFIED
Maternal care for other conditions predominantly related to pregnancy	O15_PREG_MATERN_CARE
Pregnancy with abortive outcome	O15_PREG_ABORT
Maternal care for known or suspected abnormality of pelvic organs	O15_MATERN_CARE_PELVIC_ABNORM
Excessive vomiting in pregnancy	O15_EXCESS_VOMIT_PREG
Urethral stricture	N14_URETHRALSTRICT
Acute tubulo-interstitial nephritis	N14_PYELONEPHR
Other disorders of prostate	N14_PROSTAOTH
Other menopausal disorders	N14_MENOPAUSOT
Galactorrhea	N14_GALACTORRHEA
Pain and other conditions associated with female genital organs and menstrual cycle	N14_FEMGENPAIN
All dysplastic lesions of the cervix uteri, vagina or vulva	N14_FEMALE_GENITAL_DYSPLASIA_ALL
LSIL lesion of the cervix uteri	N14_CERVICAL_LSIL
All dysplastic lesions of the cervix uteri	N14_CERVICAL_DYSPLASIA_ALL
Other disorders of breast	N14_BREASTDISOTH
Macular cyst	MACULAR_CYST
Torticollis	M13_TORTICOLLIS
Temporal arteritis	M13_TEMPARTERIT
Pyogenic arthritis	M13_PYOGARTH
Polymyalgia rheumatica	M13_POLYMYALGIA
Myositis	M13_MYOSITIS
Microscopic polyangiitis	M13_MICROPOLYANG
Lateral epicondylitis	M13_LATERALEPICOND
Juvenile rheumatoid arthirtis	M13_JUVERHEU
Flat foot [pes planus] (acquired)	M13_FLATFOOT
Other enthesopathies	M13_ENTESOPATHYOTH
Enthesopathies of lower limb, excluding foot	M13_ENTESOPATHYLOW
Other specified/unspecified disorders of synovium and tendon +Other specified/unspecified bursopathies	M13_DISSYNOTENDNAS
Deforming dorsopathies	M13_DEFORMDORSO
Seborrhoeic dermatitis	L12_SEBORRHOEIC
Guttate psoriasis	L12_PSORI_GUTTATE
Other disorders of skin and subcutaneous tissue	L12_OTHERSKINSUBCUTIS
Other contact dermatitis	L12_OTHERCONTACT
Hirsutism in women	L12_HIRSUTISM
Granulomatous disorders of skin and subcutaneous tissue	L12_GRANULOMATOUSSKIN
Other follicular disorders	L12_FOLICULAROTH
Chronic ulcer of skin, not elsewhere classified	L12_CHRONICULCEROFSKIN
Atrophic disorders of skin	L12_ATROPHICSKIN
Any mental disorder, or suicide (or attempt), or psychic disorders complicating pregnancy, partum or puerperium or nerve system disorders (more control exclusions)	KRA_PSY_ANYMENTAL_SUICID_PREG_NERV_EXMORE
Other inflammatory liver diseases	K11_OTHINFLIV
Irritable bowel syndrome	K11_IBS
Hypoplasia of dental enamel, prenatal , including avohilmo	K11_HYPOPLASIA_ENAMEL_PRENATAL_INCLAVO
Hypoplasia of dental enamel , including avohilmo	K11_HYPOPLASIA_ENAMEL_INCLAVO
Hypertrophy of tongue papillae	K11_HYPERTROPHY_TONGUE_PAPILLAE
Gastroduodenal ulcer	K11_GASTRODUOULC
Functional dyspepsia	K11_FUNCDYSP
Deposits [accretions] on teeth	K11_DEPOSITS
Chronic hepatitis, not elsewhere classified	K11_CHRONHEP
Anomalies of dental arch relationship, including avohilmo	K11_ANOMALI_DENTAL_ARCH_RELATIONS1
Abscess of anal and rectal regions	K11_ABSCANAL
Unspecified acute lower respiratory infection	J10_ACUTELOWERNAS
Acute suppurative otitis media	H8_SUP_ACUTE
Other hearing loss	H8_OTHHEARINGLOSS
Acute otitis externa, noninfective	H8_EXT_NONINF
Diseases of external ear	H8_EXTERNAL
Benign paroxysmal vertigo	H8_BPV
Retinal vascular occlusion	H7_RETIVASCOCCLUSION
Retinal vascular disorders	H7_RETINAVASC
Separation of retinal layers (serosa)	H7_RETINASEPAR
Moderate visual impairment, binocular	H7_MODVISIMPBINOC
Other and unspecified iridocyclitis	H7_IRIDONAS
Glaucoma secondary to eye inflammation	H7_GLAUCSECINFLAM
Primary angle-closure glaucoma	H7_GLAUCCLOSEPRIM
Degenerative myopia	H7_DEGENMYOPIA
Chronic conjunctivitis	H7_CONJUNCTIVITISCHRON
Other disorders of choroid	H7_CHOROIDOTH
Anisometropia and aniseikonia	H7_ANISOMETROPIA
Disorders of myoneural junction and muscle in diseases classified elsewhere	G6_MYOMUSCINOTH
Other facial nerve disorders	G6_FACOTH
Epilepsy	G6_EPLEPSY
Bell's palsy	G6_BELLPA
Circumscribed brain atrophy	G6_ATROPHCIRCUM
Substance use, excluding alcohol	F5_SUBSNOALCO
Other mental disorders due to brain damage and dysfunction and to physical disease	F5_MENTORG
Generalized anxiety disorder	F5_GAD
Acute alcohol intoxication	F5_ALCOHOLAC
Vitamin D deficiency	E4_VIT_D_DEF
Disorders of sphingolipid metabolism and other lipid storage disorders	E4_SPHINGOLIP
Disorders of parathyroid gland, other and/or unspecified	E4_PARANAS
Hypo-osmolality and hyponatraemia	E4_HYPOOSMNAT
Nondiabetic hypoglycaemic coma	E4_HYPOCOMA
Iron deficiency	E4_FE_DEF
Congenital iodine-deficiency syndrome/hypothyroidism	E4_CONGEIOD
Other disorders of carbohydrate metabolism	E4_CARBO
Dermatopolymyositis (FG)	DERMATOPOLY_FG
Other primary thrombocytopenia	D3_OTHPRIMTHROMBOCYTOPENIA
Agranulocytosis	D3_AGRANULOCYTOSIS
Enterocolitis due to Clostridium difficile	C_DIFFICILE_ENTEROCOLITIS
Chronic hepatitis NAS	CHRONHEP_NAS
Primary biliary cholangitis (PBC)	CHIRBIL_PRIM
Carcinoma in situ of cervix uteri (controls excluding all cancers)	CD2_INSITU_CERVIX_UTERI_EXALLC
Other benign neoplasms of skin	CD2_BENIGN_SKIN
Benign neoplasm: Sigmoid colon	CD2_BENIGN_SIGMOID_COLON
Benign neoplasm of major salivary glands	CD2_BENIGN_SALIVARY
Benign neoplasm of other and unspecified sites	CD2_BENIGN_OTHER_NOS
Benign neoplasm: Other and unspecified parts of mouth	CD2_BENIGN_MOUTH_NOS
Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	CD2_BENIGN_LIPO_SKIN_TRUNK
Benign neoplasm of brain and other parts of central nervous system	CD2_BENIGN_BRAIN_CNS
Benign neoplasm: Appendix	CD2_BENIGN_APPENDIX
Malignant neoplasm of testis, excluding all cancers (controls excluding all cancers)	C3_TESTIS_EXALLC
Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)	C3_STOMACH_EXALLC
Adenocarcinoma and papillary adenocarcinoma of stomach, excluding all cancers (controls excluding all cancers)	C3_STOMACH_ADENO_EXALLC
Adenocarcinoma and ductal carcinoma of pancreas, excluding all cancers (controls excluding all cancers)	C3_PANCREAS_ADENO_DUCTAL_EXALLC
Non-small cell lung cancer, squamous, excluding all cancers (controls excluding all cancers)	C3_NSCLC_SQUAM_EXALLC
Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)	C3_DLBCL_EXALLC
Bleeding	BLEEDING
Autoimmune hepatitis	AUTOHEP
Acute appendicitis, with complications	APPENDACUT_COMPLIC
Viral warts	AB1_VIRAL_WARTS
Viral and other specified intestinal infections	AB1_VIRAL_OTHER_INTEST_INFECTIONS
Viral haemorrhagic fevers, not elsewhere classified/unspecified	AB1_VIRAL_HEMOR_FEVER_NOS
Other viral diseases	AB1_OTHER_VIRAL
Other superficial mycoses	AB1_OTHER_SUPERF_MYCOSIS
Mycoses	AB1_MYCOSES
Infectious mononucleosis	AB1_EBV
Bacterial infection, other or unspecified	AB1_BACTINF_NOS
Enteritis due to Yersinia enterocolitica	YERSINIAENTERITIS
Covid-19 confirmed case	U22_COVID19_CONFIRMED
Fracture of rib(s), sternum and thoracic spine	ST19_FRACT_RIBS_STERNUM_THORACIC_SPINE
Fracture of foot, except ankle	ST19_FRACT_FOOT_ANKLE
Respiratory disorders in diseases classified elsewhere	RESP_ILL_DIS_CLASS_ELSEWHERE
Anorexia	R18_ANOREXIA
Left ventricular outflow tract obstruction, narrow definition	Q17_LVOTO_NARROW
Ehlers-Danlos syndrome	Q17_EHLER_SYNDR
Congenital malformations of trachea and bronchus	Q17_CONGEN_MALFO_TRACHEA_BRONCHUS
Congenital malformations of pulmonary and tricuspid valves	Q17_CONGEN_MALFO_PULMONARY_TRICU_VALVES
Congenital malformations of anterior segment of eye	Q17_CONGEN_MALFO_ANTER_SEGMENT_EYE
Congenital ichthyosis	Q17_CONGEN_ICHTHYOSIS
Congenital hydrocephalus	Q17_CONGEN_HYDROCEPHALUS
Chromosomal abnormalities, not elsewhere classified	Q17_CHROMOSOMAL_ABNORMALITI_NOT_ELSEW_CLASSIFIED
Osteoporosis with pathological fracture (FG)	OSTEOPOROSIS_FRACTURE_FG
Venous complications and haemorrhoids in the puerperium	O15_VENOUS_COMPLIC
Maternal care for other known or suspected fetal problems	O15_MATERN_CARE_OTHER
Maternal care for cervical incompetence	O15_MATERN_CARE_CERVICAL_INCOMPETENCE
Obstructed labour due to maternal pelvic abnormality	O15_LABOUR_PELVIC_ABNORM
Other complications of labour and delivery, not elsewhere classified	O15_LABOUR_OTHER
Long labour	O15_LABOUR_LONG
Abnormalities of forces of labour	O15_LABOUR_ABNORM_FORCES
Gestational [pregnancy-induced] oedema and proteinuria without hypertension	O15_GESTAT_OEDEM_PREINUR
False labour	O15_FALSE_LAB
Single delivery by forceps and vacuum extractor	O15_DELIV_FORCEP_VAC
Single delivery by caesarean section	O15_DELIV_CAESAR
Other abnormal products of conception	O15_CONCEPT_ABNORM
Antepartum haemorrhage, not elsewhere classified	O15_ANTEPART_HAEM_NAS
Non-invasive ventilation	NIV
Other necrotizing vasculopathies (FG)	NECROVASC_FG
Urethritis and urethral syndrome	N14_URETHRITISANDURSYNDR
Other female pelvic inflammatory diseases	N14_OTHFEMPELINF
Oligomenorrhoea	N14_OLIGOMEN
Other obstructive and reflux uropathy	N14_OBSTRUREFLUROPATH
Irregular menses	N14_MENSIRREG
Unspecified lump in breast	N14_LUMPNASBREAST
IgA nephropathy (IgA glomerulonephritis)	N14_IGA_NEPHROPATHY
Glomerular disorders in diseases classified elsewhere	N14_GLOMEINOTH
Endometriosis of intestine	N14_ENDOMETRIOSIS_INTESTINE
Acute renal failure	N14_ACUTERENFAIL
Other deformities of toe(s)	M13_TOEDEFORMOTH
Tibial collateral bursitis [Pellegrini-Stieda]	M13_TIBIALCOLLATERAL
Systemic sclerosis	M13_SYSTSLCE
Scoliosis	M13_SCOLIOSIS
Rheumatism, unspecified	M13_RHEUMATISM
Radiculopathy	M13_RADICULOPATHY
Polymyositis	M13_POLYMYO
Polyarthritis, unspecified	M13_POLYARTHRITIS
Plantar fascial fibromatosis	M13_PLANTARFASC
Patellar tendinitis	M13_PATELLARTEND
Panniculitis affecting regions of neck and back	M13_PANNICULITIS
Palindromic rheumatism	M13_PALINDROMIC
Osteomyelitis	M13_OSTEOMYELITIS
Other disorders of the musculoskeletal system and connective tissue	M13_MUSCULOSKELEOTH
Monoarthritis, not elsewhere classified	M13_MONOARTHRITIS
Hallux rigidus	M13_HALLUXRIGIDUS
Giant cell arteritis	M13_GIANTCELL
Ganglion	M13_GANGLION
Diastasis of muscle	M13_DIASTASIS
Radial styloid tenosynovitis [de Quervain]	M13_DEQUERVAIN
Cervicobrachial syndrome	M13_CERVICOBRACHSDR
Calcific tendinitis of shoulder	M13_CALCIFICTEND
Biomechanical lesions, not elsewhere classified	M13_BIOMECHLESIO
Bicipital tendinitis	M13_BICIPITALTEND
Arthropathies in other diseases classified elsewhere	M13_ARTHINOTH
Vitiligo	L12_VITILIGO
Ulcer of lower limb, not elsewhere classified	L12_ULCERLOWLIMB
Other and unspecified rosacea	L12_ROSACEANAS
Pemphigus	L12_PEMPHIGUS
Other and unspecified pemphigoid	L12_PEMPHIGOID_NAS
Other disorders of skin and subcutaneous tissue, not elsewhere classified	L12_OTHERDISSKINANDSUBCUTIS
Lichen simplex chronicus and prurigo	L12_LICHSIMPANDPRURIGO
Lichen simplex chronicus	L12_LICHENSIMPLEX
Dermatitis due to substances taken internally	L12_INTERNALSUBSTANCEDERM
Dermatitis due to ingested food	L12_FOODDERMAT
Exfoliative dermatitis	L12_EXFOLIATIVE
Other epidermal thickening	L12_EPIDERMALTHICKOTH
Cellulitis	L12_CELLULITIS
Cutaneous abscess, furuncle and carbuncle	L12_ABSCESS_CUT
Mental retardation (more control exclusions)	KRA_PSY_MENTALRET_EXMORE
Gastro-oesophageal reflux disease	K11_REFLUX
Colitis, primary sclerosing, strict definition	K11_PSC_COLITIS_STRICT
Acute peritonitis	K11_PERITONITIS
Other diseases of pancreas	K11_PANCOTH
Other and unspecified abdominal hernia	K11_OTHABDHER
Oral leukoplakia and related diseases, including avohilmo	K11_ORAL_LEUCOPLAC_RELAT_INCLAVO
Oral leukoplakia, including avohilmo	K11_ORAL_LEUCOPLACIA_INCLAVO
Open bite that required surgery (Lefort1 or BSSRO)	K11_OPEN_BITE_SURGERY
Mandibular retrognathia	K11_MN_RETRGN
Mandibular prognathia AND surgery (LeFortI or BSSO or LeFortI AND BSSO), including avohilmo	K11_MN_PROGN_AND_SURGRT_INCLAVO
Mandibular prognathia AND surgery (LeFortI or BSSRO)	K11_MN_PROGN_AND_SURGRT
Mandibular prognathia	K11_MN_PROGN
Gingival hyperplasia	K11_GINGIV_HYPERPLAS
Gingivitis and periodontal diseases	K11_GINGIVITIS_PERIODONTAL
Femoral hernia	K11_FEMHER
Deep bite	K11_DEEP_BITE
Crowding of teeth, including avohilmo	K11_CROWDI_TEETH
Chronic gastritis	K11_CHRONGASTR
Cholangitis (primary sclerosing, PSC), with reimbursement 202	K11_CHOLANGI_STRICT
Cholangitis (primary sclerosing, PSC)	K11_CHOLANGI
Other appendicitis	K11_APPENDOTH
Achalasia of cardia	K11_ACHAL
Abrasion of teeth	K11_ABRASION
Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified	J10_VOCALLARYNX
Other diseases of the respiratory system	J10_RESPOTHER
Pneumothorax	J10_PNEUMOTHORAX
Acute epiglottitis	J10_EPIGLOTTITIS
Emphysema	J10_EMPHYSEMA
Chronic laryngitis and laryngotracheitis	J10_CHRONLARYNGITIS
Acute bronchitis	J10_BRONCHITIS
Transient ischemic attack	I9_TIA
Embolic stroke with flimmer	I9_STR_EMBOLIC_WITH_FLIMMER
Other aneurysm	I9_OTHANEUR
Hypertensive Renal Disease	I9_HYPTENSRD
Secondary hypertension	I9_HYPTENSEC
Other arterial embolism and thrombosis	I9_ARTEMBTHRNAS
Dissection of aorta	I9_AORTDIS
Other otitis externa (chronic)	H8_EXT_OTH
Cellulitis of external ear	H8_EXT_CELLUL
Other and unspecified disorders of vitreous body	H7_VITROTH
Blindness or visual impairment, binocular	H7_VISIMPBILATERAL
Visual field defects	H7_VISFIELDDEF
Hyphaema and other vascular disorders of iris and ciliary body	H7_VASCCILIARY
Stenosis and insufficiency of lacrimal passages	H7_STENOLACRI
Retinoschisis and retinal cysts	H7_RETINOCHISISCYST
Traction detachment of retina	H7_RETINALDETACHTRACTION
Retinal haemorrhage	H7_RETINAHAEMORR
Paralytic strabismus	H7_PARASTRAB
Optic neuritis	H7_OPTNEURITIS
Dislocation of lens	H7_LENSDISLOCATIO
Lagophthalmos	H7_LAGOPHTALMOS
Iridocyclitis in diseases classified elsewhere	H7_IRIDOCYCLITISINOTH
Other disorders of eye and adnexa	H7_EYEOTH
Exophthalmic conditions	H7_EXOPTHALMUS
Episcleritis	H7_EPISCLERITIS
Ectropion of eyelid	H7_ECTROPION
Bullous keratopathy	H7_BULLKERATOPATHY
Generalized epilepsy	GE
Other and unspecified trigeminal disorders	G6_TRIOTHUNS
Status epilepticus	G6_STATUSEPI
Lesion of sciatic nerve	G6_SCIALE
Other and unspecified nerve root and plexus disorders, also in other diseases	G6_ROOTPLEXOTHUNS
Lesion of plantar nerve	G6_PLANTAR
Narcolepsy and cataplexy	G6_NARCOCATA
